Lambda:   4.00, Intercambios: 2, Solucion: 4.965748e-02 8.069340e-02 9.905633e-02 1.073703e-01 1.078402e-01 1.023318e-01 9.242134e-02 7.943336e-02 6.447271e-02 -2.015481e-01 
Lambda:   4.50, Intercambios: 2, Solucion: 5.234609e-02 8.724349e-02 1.098622e-01 1.224401e-01 1.268956e-01 1.248862e-01 1.178437e-01 1.070010e-01 9.341425e-02 -1.442395e-01 
Lambda:   5.00, Intercambios: 2, Solucion: 6.896099e-02 1.172337e-01 1.505648e-01 1.713872e-01 1.818189e-01 1.837194e-01 1.787226e-01 1.682610e-01 1.535864e-01 -6.421234e-02 
Lambda:   5.50, Intercambios: 1, Solucion: 1.666134e-01 2.877867e-01 3.754538e-01 4.345453e-01 4.694076e-01 4.839056e-01 4.814803e-01 4.651920e-01 4.377556e-01 2.197533e-01 
Lambda:   6.00, Intercambios: 0, Solucion: -1.508368e-01 -2.639643e-01 -3.488100e-01 -4.091709e-01 -4.484284e-01 -4.696205e-01 -4.754814e-01 -4.684704e-01 -4.507954e-01 -5.911007e-01 
Lambda:   6.50, Intercambios: 0, Solucion: -4.243073e-02 -7.506975e-02 -1.002604e-01 -1.189221e-01 -1.318808e-01 -1.398848e-01 -1.436136e-01 -1.436841e-01 -1.406556e-01 -2.888804e-01 
Lambda:   7.00, Intercambios: 0, Solucion: -2.225028e-02 -3.973265e-02 -5.354447e-02 -6.410516e-02 -7.179408e-02 -7.695752e-02 -7.991229e-02 -8.094820e-02 -8.033018e-02 -2.211571e-01 
Lambda:   7.50, Intercambios: 0, Solucion: -1.411313e-02 -2.540364e-02 -3.449877e-02 -4.163199e-02 -4.701582e-02 -5.084542e-02 -5.330048e-02 -5.454647e-02 -5.473567e-02 -1.873414e-01 
Lambda:   8.00, Intercambios: 0, Solucion: -9.863503e-03 -1.787760e-02 -2.444042e-02 -2.969633e-02 -3.377740e-02 -3.680560e-02 -3.889384e-02 -4.014667e-02 -4.066091e-02 -1.655261e-01 
Lambda:   8.50, Intercambios: 0, Solucion: -7.321276e-03 -1.335056e-02 -1.835808e-02 -2.243928e-02 -2.568192e-02 -2.816740e-02 -2.997146e-02 -3.116455e-02 -3.181226e-02 -1.496226e-01 
Lambda:   9.00, Intercambios: 0, Solucion: -5.665143e-03 -1.038610e-02 -1.435519e-02 -1.763865e-02 -2.029759e-02 -2.238896e-02 -2.396595e-02 -2.507826e-02 -2.577235e-02 -1.372027e-01 
Lambda:   9.50, Intercambios: 0, Solucion: -4.520529e-03 -8.327290e-03 -1.156220e-02 -1.427290e-02 -1.650352e-02 -1.829533e-02 -1.968701e-02 -2.071485e-02 -2.141293e-02 -1.270763e-01 
Lambda:  10.00, Intercambios: 0, Solucion: -3.694050e-03 -6.833993e-03 -9.527571e-03 -1.181006e-02 -1.371424e-02 -1.527088e-02 -1.650890e-02 -1.745554e-02 -1.813644e-02 -1.185757e-01 
